"","competition","team","xp_w","xp_w_z"
"1","Premier League","Man City",28.2562451941907,69
"2","Premier League","Arsenal",27.811131905365,68
"3","Premier League","Liverpool",27.6124984560287,68
"4","Premier League","Chelsea",23.6004052910884,60
"5","Premier League","Newcastle",21.1021054068048,55
"6","Premier League","Tottenham",20.6409311033334,54
"7","Premier League","Man United",20.2709724821042,53
"8","Premier League","Aston Villa",19.6881902364065,52
"9","Premier League","Brighton",18.8087938693875,51
"10","Premier League","Bournemouth",17.8138494074242,49
"11","Premier League","Fulham",17.2242727765105,48
"12","Premier League","Brentford",16.1292762920201,45
"13","Premier League","Nott'm Forest",15.618067206184,45
"14","Premier League","West Ham",15.3048337339388,44
"15","Premier League","Crystal Palace",15.2195418485208,44
"16","Premier League","Everton",14.8305808203464,43
"17","Premier League","Wolves",14.4142862436675,42
"18","Premier League","Ipswich",12.2949553396642,38
"19","Premier League","Leicester",12.057368546692,38
"20","Premier League","Southampton",10.7648335069082,35
"21","La Liga","Real Madrid",28.5026973704767,72
"22","La Liga","Barcelona",27.2238898869677,69
"23","La Liga","Ath Madrid",25.0081797429657,64
"24","La Liga","Ath Bilbao",21.7843516584589,58
"25","La Liga","Sociedad",21.5689120732602,57
"26","La Liga","Girona",20.0710885806337,54
"27","La Liga","Villarreal",20.0459785057266,54
"28","La Liga","Celta",18.0443075996729,50
"29","La Liga","Betis",17.5894457465621,49
"30","La Liga","Valencia",17.0653757982874,48
"31","La Liga","Mallorca",16.7428126600282,47
"32","La Liga","Getafe",16.3425984548941,46
"33","La Liga","Sevilla",16.1557984742612,46
"34","La Liga","Osasuna",15.8898738914539,45
"35","La Liga","Alaves",15.6210222427175,45
"36","La Liga","Vallecano",15.5730899640471,45
"37","La Liga","Las Palmas",13.6328149303497,40
"38","La Liga","Espanol",12.8026968764457,39
"39","La Liga","Leganes",11.7639416973158,37
"40","La Liga","Valladolid",11.6870634081945,36
"41","Serie A","Inter",28.2981765004034,70
"42","Serie A","Atalanta",24.913659843949,63
"43","Serie A","Juventus",24.60031614133,62
"44","Serie A","Milan",24.4998266785731,62
"45","Serie A","Napoli",23.9911981197964,61
"46","Serie A","Lazio",21.8406519357034,57
"47","Serie A","Fiorentina",21.7244156837206,57
"48","Serie A","Roma",21.3762543614219,56
"49","Serie A","Bologna",19.2618111040582,52
"50","Serie A","Torino",15.9210971629122,45
"51","Serie A","Como",15.5944636543713,45
"52","Serie A","Udinese",15.2948695007094,44
"53","Serie A","Cagliari",14.5559102232047,43
"54","Serie A","Genoa",13.8491802243535,41
"55","Serie A","Lecce",13.8128122780761,41
"56","Serie A","Parma",13.6457624203062,41
"57","Serie A","Venezia",13.5682439273995,41
"58","Serie A","Monza",13.2676775653253,40
"59","Serie A","Verona",13.2379541447673,40
"60","Serie A","Empoli",12.9473659691837,39
"61","Ligue 1","Paris SG",26.3391793947475,73
"62","Ligue 1","Monaco",21.5604867289073,62
"63","Ligue 1","Marseille",20.1531057656735,59
"64","Ligue 1","Lens",19.9820894914415,58
"65","Ligue 1","Lille",19.3082219882683,57
"66","Ligue 1","Lyon",18.7388345439638,55
"67","Ligue 1","Rennes",18.6684559526263,55
"68","Ligue 1","Nice",17.4425744764478,52
"69","Ligue 1","Toulouse",16.9292960354002,51
"70","Ligue 1","Brest",15.8675582763976,49
"71","Ligue 1","Reims",15.5015835908793,48
"72","Ligue 1","Strasbourg",14.4781168742083,45
"73","Ligue 1","Nantes",13.5351741381893,43
"74","Ligue 1","Montpellier",12.638601661967,41
"75","Ligue 1","Auxerre",12.2541633581408,40
"76","Ligue 1","Le Havre",12.2419262842801,40
"77","Ligue 1","St Etienne",10.9193363687265,37
"78","Ligue 1","Angers",10.2886966782712,35
"79","Bundesliga","Bayern Munich",27.7449883043962,73
"80","Bundesliga","Leverkusen",25.5159870364716,68
"81","Bundesliga","Stuttgart",21.1913480495913,59
"82","Bundesliga","Dortmund",20.8405636566574,59
"83","Bundesliga","RB Leipzig",20.7232490639844,59
"84","Bundesliga","Ein Frankfurt",17.6161874864551,52
"85","Bundesliga","M'gladbach",15.7334248357323,48
"86","Bundesliga","Freiburg",15.7101533839527,48
"87","Bundesliga","Wolfsburg",15.4679744974155,48
"88","Bundesliga","Mainz",15.2607449410789,47
"89","Bundesliga","Werder Bremen",14.8075339199679,46
"90","Bundesliga","Union Berlin",14.6864312859104,46
"91","Bundesliga","Hoffenheim",14.66363902738,46
"92","Bundesliga","Augsburg",13.8546459076182,44
"93","Bundesliga","St Pauli",11.8060554892295,40
"94","Bundesliga","Heidenheim",11.4970368096855,39
"95","Bundesliga","Bochum",11.277319150245,39
"96","Bundesliga","Holstein Kiel",10.433333653323,37
